datetime,v1,v2,v1_roll,v2_roll,roll_corr
2025-08-01 07:00:30,4626861994.5633335,10847.0,4626786683.0766115,10834.444444444443,-0.020190999720474168
2025-08-01 07:01:00,4626868013.220333,10856.333333333334,4626791778.012466,10835.411111111112,0.059128607491201364
2025-08-01 07:01:30,4626875880.379001,10850.666666666666,4626796993.7168665,10835.72222222222,0.16827513326233193
2025-08-01 07:02:00,4626884419.733001,10858.0,4626802363.3585005,10836.41111111111,0.2778246103760019
2025-08-01 07:02:30,4626890788.589,10860.333333333334,4626807818.080444,10837.533333333333,0.331339518259661
2025-08-01 07:03:00,4626896816.976666,10848.0,4626813332.797178,10838.122222222222,0.34305271868319515
2025-08-01 07:03:30,4626904498.773666,10858.0,4626818949.027211,10838.911111111112,0.4028107436234461
2025-08-01 07:04:00,4626912234.269667,10870.333333333334,4626824675.9668,10840.233333333334,0.46995494500380014
2025-08-01 07:04:30,4626918983.653,10857.0,4626830470.1384,10841.2,0.48222233860153524
2025-08-01 07:05:00,4626925019.41,10851.333333333334,4626836313.366744,10841.788888888888,0.48804517729823155
2025-08-01 07:05:30,4622638095.332,10858.0,4626699106.630722,10842.555555555555,-0.17135194398690753
2025-08-01 07:06:00,4622646717.13,10873.333333333334,4626562033.227778,10843.455555555556,-0.3674141636400845
2025-08-01 07:06:30,4622652249.114333,10874.666666666666,4626424958.374067,10843.766666666666,-0.5047980738382907
2025-08-01 07:07:00,4622658327.158,10859.0,4626287845.571767,10844.155555555555,-0.5223611412001268
2025-08-01 07:07:30,4622664810.615334,10856.333333333334,4626150678.3078,10844.855555555556,-0.5236856228495333
2025-08-01 07:08:00,4622674899.233001,10872.333333333334,4626013581.763289,10846.222222222223,-0.5697064949073712
2025-08-01 07:08:30,4622684753.066667,10864.666666666666,4625876635.208856,10847.37777777778,-0.5874244809668944
2025-08-01 07:09:00,4622690891.201,10832.666666666666,4625739743.004956,10847.344444444443,-0.497137813931
2025-08-01 07:09:30,4622697607.401334,10844.333333333334,4625602918.0441675,10847.966666666667,-0.4568597612794634
2025-08-01 07:10:00,4622703958.537,10853.666666666666,4625466132.668478,10848.766666666666,-0.4442273972861504
